Lastname,Name,Height,Weight,Age,Sex
A,A,159,159,19,male
D,D,59,59,157,female
E,E,159,56,56,female
A,A,159,159,19,male
D,D,59,59,157,female
E,E,159,56,56,female
A,A,159,159,19,male
D,D,59,59,157,female
E,E,159,56,56,female
A,A,159,159,19,male
D,D,59,59,157,female
E,E,159,56,56,female
A,A,159,159,19,male
A,A,159,159,19,male
D,D,59,59,157,female
E,E,159,56,56,female
A,A,159,159,19,male
D,D,59,59,157,female
E,E,159,56,56,female
A,A,159,159,19,male
D,D,59,59,157,female
E,E,159,56,56,female
A,A,159,159,19,male
D,D,59,59,157,female
A,A,159,159,19,male
D,D,59,59,157,female
E,E,159,56,56,female
A,A,159,159,19,male
D,D,59,59,157,female
E,E,159,56,56,female
A,A,159,159,19,male
D,D,59,59,157,female
E,E,159,56,56,female
A,A,159,159,19,male
D,D,59,59,157,female
A,A,159,159,19,male
D,D,59,59,157,female
E,E,159,56,56,female
A,A,159,159,19,male
D,D,59,59,157,female
E,E,159,56,56,female
A,A,159,159,19,male
D,D,59,59,157,female
E,E,159,56,56,female
A,A,159,159,19,male
D,D,59,59,157,female
A,A,159,159,19,male
D,D,59,59,157,female
E,E,159,56,56,female
A,A,159,159,19,male
D,D,59,59,157,female
E,E,159,56,56,female
A,A,159,159,19,male
D,D,59,59,157,female
E,E,159,56,56,female
A,A,159,159,19,male
D,D,59,59,157,female
E,E,159,56,56,female
